customer_id,company_name,total_orders,total_spent,average_order_value,last_order_date,first_order_date,will_order_next_6months,days_since_last_order,customer_age_days
ALFKI,Alfreds Futterkiste,-0.026940578042166045,-0.359688120741261,-0.5377889527701571,1998-04-09,1997-08-25,1,-0.33337114203018564,10110.0
ANATR,Ana Trujillo Emparedados y helados,-0.7543361851806519,-0.5623159668919904,-0.8582110890735825,1998-03-04,1997-08-08,1,0.1575936307778897,10127.0
ANTON,Antonio Moreno Taquería,-0.2694057804216613,-0.250204988993923,0.002461022297979161,1998-01-28,1997-05-13,1,0.6349204932301852,10214.0
AROUT,Around the Horn,0.942920231475815,0.14234969537733108,-0.013843152173723122,1998-04-10,1997-06-04,1,-0.3470090523859655,10192.0
BERGS,Berglunds snabbköp,1.4278506362348056,0.4573651585386426,0.20817365303554208,1998-03-04,1997-06-18,1,0.1575936307778897,10178.0
BLAUS,Blauer See Delikatessen,-0.2694057804216613,-0.4500158255364371,-0.6796576211072815,1998-04-29,1997-06-27,1,-0.6061293491457831,10169.0
BLONP,Blondesddsl père et fils,-0.026940578042166045,-0.32940813944499675,-0.45164689577287254,1998-01-12,1997-06-05,1,0.8531270589226632,10191.0
BOLID,Bólido Comidas preparadas,-0.9968013875601471,-0.4296869550741056,0.5297425709206104,1998-03-24,1997-12-29,1,-0.11516457633770771,9984.0
BONAP,Bon app',1.1853854338553103,0.21739376841122648,-0.020705011802181907,1998-05-06,1997-09-10,1,-0.7015947216362421,10094.0
BOTTM,Bottom-Dollar Markets,0.7004550290963197,0.33770132881035847,0.507367359643031,1998-04-24,1997-11-14,1,-0.5379397973668837,10029.0
BSBEV,B's Beverages,0.21552462433732925,-0.38548527598715454,-0.7196181967883201,1998-04-14,1997-05-15,1,-0.401560693809085,10212.0
CACTU,Cactus Comidas para llevar,-0.2694057804216613,-0.5434731560489675,-0.9987043185166103,1998-04-28,1997-12-17,1,-0.5924914387900032,9996.0
CHOPS,Chop-suey Chinese,-0.2694057804216613,-0.07977084983285253,0.5842928478694458,1998-04-22,1997-11-06,1,-0.5106639766553239,10037.0
COMMI,Comércio Mineiro,-0.9968013875601471,-0.6171289256124343,-1.0699912682599424,1998-04-22,1998-03-23,1,-0.5106639766553239,9900.0
CONSH,Consolidated Holdings,-1.2392665899396424,-0.5885205871700024,-0.28140447944149294,1998-01-23,1998-01-23,1,0.7031100450090846,9959.0
DRACD,Drachenblut Delikatessen,-0.5118709828011566,-0.43114151442639326,-0.4264653087734046,1998-05-04,1997-12-25,1,-0.6743189009246824,9988.0
DUMON,Du monde entier,-0.7543361851806519,-0.5600594860892287,-0.8453723824691797,1998-02-16,1997-07-24,1,0.3758001964703676,10142.0
EASTC,Eastern Connection,-0.026940578042166045,0.08373495853000305,0.7236839588134847,1998-04-28,1997-05-09,1,-0.5924914387900032,10218.0
ERNSH,Ernst Handel,3.1251070528912726,4.170444721461135,2.9623807586799447,1998-05-05,1997-06-17,1,-0.6879568112804623,10179.0
FAMIA,Familia Arquibaldo,-0.7543361851806519,-0.4895299192974622,-0.44408006308986064,1997-10-31,1997-06-26,0,1.8486945148945937,10170.0
FISSA,FISSA Fabrica Inter. Salchichas S.A.,-1.4817317923191378,-0.6523115329187078,-1.370259171423807,,,0,4.058035992530932,
FOLIG,Folies gourmandes,-0.7543361851806519,-0.016216852051888442,2.2489309277232694,1997-12-22,1997-08-15,1,1.1395231763940403,10120.0
