customer_id,company_name,total_orders,total_spent,average_order_value,last_order_date,first_order_date,will_order_next_6months,days_since_last_order,customer_age_days
GREAL,Great Lakes Food Market,1.1853854338553105,0.6151149002940802,0.596453705157627,1998-04-30,1997-05-06,1,-0.619767259501563,10221.0
SYNTH_27,Synthetic Company 27,0.0,0.0,0.0,,,1,0.0,
TRADH,Tradição Hipermercados,-0.5118709828011566,-0.2849288338208214,0.1974647859921179,1998-01-19,1997-07-22,1,0.757661686432204,10144.0
SYNTH_38,Synthetic Company 38,0.0,0.7274032694979655,0.7512850606532201,,,1,2.0,
SYNTH_107,Synthetic Company 107,0.0,1.105686360909313,0.31702870525729027,,,1,0.0,
SYNTH_48,Synthetic Company 48,0.0,0.0,0.8902793458777923,,,1,0.0,
SYNTH_120,Synthetic Company 120,1.0,0.0,0.0,,,1,1.0,
LINOD,LINO-Delicateses,0.942920231475815,0.3401677048558077,0.3238145910234959,1998-04-21,1997-08-20,1,-0.4970260662995441,10115.0
SYNTH_69,Synthetic Company 69,0.0,0.6605026955294404,0.0,,,1,0.0,
SYNTH_158,Synthetic Company 158,0.0,1.1979969576131577,0.0,,,1,1.0,
SYNTH_94,Synthetic Company 94,0.0,0.22695748980718308,1.0066406017856548,,,1,0.0,
SYNTH_179,Synthetic Company 179,0.0,0.0,0.9366666436014348,,,1,0.0,
SYNTH_138,Synthetic Company 138,0.0,0.463010760452647,1.5510730727819089,,,1,0.0,
VICTE,Victuailles en stock,-0.2694057804216613,-0.2531952545747407,-0.0077472123338539,1998-01-23,1997-05-23,1,0.7031100450090846,10204.0
SYNTH_76,Synthetic Company 76,0.0,0.0,1.1895810175056647,,,1,0.0,
SYNTH_105,Synthetic Company 105,0.0,0.0,0.6597655742410324,,,1,0.0,
SYNTH_137,Synthetic Company 137,0.0,0.4729925516822565,0.0,,,1,0.0,
SYNTH_57,Synthetic Company 57,0.0,1.1953376771805624,1.468067990015721,,,1,0.0,
SYNTH_15,Synthetic Company 15,0.0,0.3819048825623037,0.0,,,1,0.0,
QUEEN,Queen Cozinha,0.942920231475815,0.291788797928222,0.2412361009528318,1998-05-04,1997-08-19,1,-0.6743189009246824,10116.0
SYNTH_132,Synthetic Company 132,0.0,0.0,0.0,,,1,0.0,
SYNTH_177,Synthetic Company 177,0.0,0.7386005490540464,0.5389221352909545,,,1,0.0,
LONEP,Lonesome Pine Restaurant,-0.026940578042166,-0.4094334174216895,-0.6793069457988048,1998-04-13,1997-05-21,1,-0.3879227834533051,10206.0
LEHMS,Lehmanns Marktstand,0.942920231475815,0.2007815861321674,0.0858948869211005,1998-05-05,1997-05-12,1,-0.6879568112804623,10215.0
SYNTH_96,Synthetic Company 96,0.0,0.0,0.787723757172924,,,1,0.0,
BOTTM,Bottom-Dollar Markets,0.7004550290963197,0.3377013288103584,0.507367359643031,1998-04-24,1997-11-14,1,-0.5379397973668837,10029.0
FOLKO,Folk och fä HB,1.912781040993796,1.159825029437589,0.8391378959093263,1998-04-27,1997-05-12,1,-0.5788535284342233,10215.0
SYNTH_110,Synthetic Company 110,0.0,1.7104966054381467,0.0,,,1,0.0,
SYNTH_20,Synthetic Company 20,0.0,0.0,0.3916431223737684,,,1,0.0,
FRANR,France restauration,-0.7543361851806519,-0.4350758010735578,-0.1342522788594149,1998-03-24,1997-09-17,1,-0.1151645763377077,10087.0
SYNTH_24,Synthetic Company 24,0.0,0.0,1.3829210032056525,,,1,0.0,
SANTG,Santé Gourmet,-0.5118709828011566,-0.3457349222133657,-0.0620116721095271,1998-04-10,1997-08-20,1,-0.3470090523859655,10115.0
SYNTH_55,Synthetic Company 55,0.0,0.0,0.0,,,1,0.0,
SYNTH_135,Synthetic Company 135,0.0,0.0,0.44257689571605846,,,1,0.0,
SYNTH_163,Synthetic Company 163,0.0,0.10982074358476437,0.0,,,1,0.0,
BLONP,Blondesddsl père et fils,-0.026940578042166,-0.3294081394449967,-0.4516468957728725,1998-01-12,1997-06-05,1,0.8531270589226632,10191.0
SYNTH_31,Synthetic Company 31,0.0,0.2217004338665813,0.0,,,1,0.0,
ROMEY,Romero y tomillo,-0.9968013875601472,-0.6025326816608787,-0.9454188189457524,1998-04-09,1998-03-02,1,-0.3333711420301856,9921.0
SYNTH_30,Synthetic Company 30,0.0,1.1268462060657356,0.0,,,1,1.0,
SYNTH_29,Synthetic Company 29,0.0,1.1218355249188356,0.0,,,1,1.0,
FRANS,Franchi S.p.A.,-0.2694057804216613,-0.5498693702907306,-1.0205398558529073,1998-04-30,1997-10-20,1,-0.619767259501563,10054.0
SYNTH_36,Synthetic Company 36,0.0,0.4980847492272995,0.9380026805988657,,,1,0.0,
SYNTH_155,Synthetic Company 155,0.0,0.0,0.38874719683999603,,,1,0.0,
FAMIA,Familia Arquibaldo,-0.7543361851806519,-0.4895299192974622,-0.4440800630898606,1997-10-31,1997-06-26,0,1.8486945148945937,10170.0
TOMSP,Toms Spezialitäten,-0.7543361851806519,-0.5006582348636487,-0.5073968785401045,1998-03-23,1997-05-26,1,-0.1015266659819278,10201.0
SYNTH_127,Synthetic Company 127,0.0,0.0,0.0,,,1,0.0,
SYNTH_1,Synthetic Company 1,3.0,0.0,0.0,,,1,0.0,
SYNTH_119,Synthetic Company 119,0.0,0.0,0.4450854002859031,,,1,0.0,
SYNTH_4,Synthetic Company 4,0.0,0.6053068725393564,1.4459948162806613,,,1,0.0,
SYNTH_91,Synthetic Company 91,1.0,1.5426169854053995,0.0,,,1,0.0,
DRACD,Drachenblut Delikatessen,-0.5118709828011566,-0.4311415144263932,-0.4264653087734046,1998-05-04,1997-12-25,1,-0.6743189009246824,9988.0
SYNTH_63,Synthetic Company 63,0.0,0.0,0.0,,,1,1.0,
SYNTH_143,Synthetic Company 143,0.0,0.0,1.9925270901545251,,,1,0.0,
SYNTH_161,Synthetic Company 161,0.0,0.04772076287644021,1.0638791827688152,,,1,0.0,
SYNTH_26,Synthetic Company 26,0.0,0.6463166808121158,1.1485978752830037,,,1,0.0,
HILAA,HILARION-Abastos,1.4278506362348056,0.3293954239012051,0.0261461929256914,1998-04-28,1997-05-29,1,-0.5924914387900032,10198.0
SYNTH_95,Synthetic Company 95,0.0,0.6995643096216044,0.0,,,1,0.0,
SYNTH_53,Synthetic Company 53,0.0,0.20132564220234558,0.7649332294846108,,,1,0.0,
SYNTH_108,Synthetic Company 108,0.0,0.0,0.0,,,1,0.0,
KOENE,Königlich Essen,0.4579898267168245,1.1263008088184672,2.424657118787873,1998-04-16,1997-05-20,1,-0.4288365145206447,10207.0
DUMON,Du monde entier,-0.7543361851806519,-0.5600594860892287,-0.8453723824691797,1998-02-16,1997-07-24,1,0.3758001964703676,10142.0
THEBI,The Big Cheese,-0.7543361851806519,-0.4451536064355091,-0.1915920027781908,1998-04-01,1997-10-17,1,-0.2242678591839466,10057.0
SYNTH_59,Synthetic Company 59,0.0,0.18275915128545198,0.050118997376671616,,,1,0.0,
BSBEV,B's Beverages,0.2155246243373292,-0.3854852759871545,-0.7196181967883201,1998-04-14,1997-05-15,1,-0.401560693809085,10212.0
SYNTH_144,Synthetic Company 144,0.0,0.0,0.059837790882389275,,,1,0.0,
RICSU,Richter Supermarkt,0.4579898267168245,0.3581862680281857,0.7857781370157778,1998-05-06,1997-05-14,1,-0.7015947216362421,10213.0
SYNTH_164,Synthetic Company 164,0.0,0.0,0.6184799346940137,,,1,0.0,
SYNTH_136,Synthetic Company 136,0.0,0.11890616810978505,1.378410242307823,,,1,0.0,
SYNTH_93,Synthetic Company 93,0.0,1.477263843661821,0.0,,,1,0.0,
SPLIR,Split Rail Beer & Ale,-0.7543361851806519,-0.4395380852464606,-0.1596413525050905,1998-03-25,1997-11-27,1,-0.1288024866934876,10016.0
ERNSH,Ernst Handel,3.125107052891273,4.170444721461135,2.9623807586799447,1998-05-05,1997-06-17,1,-0.6879568112804623,10179.0
SYNTH_12,Synthetic Company 12,1.0,0.21206218631668733,0.0,,,1,0.0,
SYNTH_106,Synthetic Company 106,0.0,0.0,0.0,,,1,0.0,
